Hospital Name|CITY|State|Country
HealthSouth Rehabilitation Hospital of Montgomery|Montgomery|Alabama|USA
HealthSouth Rehabilitation Hospital of North Alabama|Huntsville|Alabama|USA
Helen Keller Hospital|Sheffield|Alabama|USA
Highlands Medical Center|Scottsboro|Alabama|USA
Hill Crest Behavioral Health Services|Birmingham|Alabama|USA
Hill Hospital of Sumter County|York|Alabama|USA
Huntsville Hospital System|Huntsville|Alabama|USA
Infirmary LTAC Hospital|Mobile|Alabama|USA
Infirmary West|Mobile|Alabama|USA
Jack Hughston Memorial Hospital|Phenix City|Alabama|USA
Jackson Hospital and Clinic|Montgomery|Alabama|USA
Jackson Medical Center|Jackson|Alabama|USA
Jacksonville Medical Center|Jacksonville|Alabama|USA
John Paul Jones Hospital|Camden|Alabama|USA
L.V. Stabler Memorial Hospital|Greenville|Alabama|USA
Lakeland Community Hospital|Haleyville|Alabama|USA
Lake Martin Community Hospital|Dadeville|Alabama|USA
Lanier Health Services|Valley|Alabama|USA
Laurel Oaks Behavioral Health Center|Dothan|Alabama|USA
Lawrence Medical Center|Moulton|Alabama|USA
Long Term Hospital of Anniston, LLC|Anniston|Alabama|USA
Long Term Hospital of Birmingham, LLC|Birmingham|Alabama|USA
Long Term Hospital of Dothan, LLC|Dothan|Alabama|USA
Long Term Hospital of Montgomery, LLC|Montgomery|Alabama|USA
Long Term Hospital of Tuscaloosa, LLC|Tuscaloosa|Alabama|USA
Madison Hospital|Madison|Alabama|USA
Marshall Medical Center North|Guntersville|Alabama|USA
Marshall Medical Center South|Boaz|Alabama|USA
Mary Starke Harper Geriatric Psychiatry Center|Tuscaloosa|Alabama|USA
Medical Center Barbour|Eufaula|Alabama|USA
Medical Center Enterprise|Enterprise|Alabama|USA
Medical West|Bessemer|Alabama|USA
Mercy Medical|Daphne|Alabama|USA
Mizell Memorial Hospital|Opp|Alabama|USA
Mobile Infirmary Medical Center|Mobile|Alabama|USA
Monroe County Hospital|Monroeville|Alabama|USA
Mountain View Hospital|Gadsden|Alabama|USA
North Alabama Regional Hospital|Decatur|Alabama|USA
North Baldwin Infirmary|Bay Minette|Alabama|USA
North Alabama Medical Center - Shoals Hospital|Muscle Shoals|Alabama|USA
Northeast Alabama Regional Medical Center|Anniston|Alabama|USA
Northport Medical Center|Northport|Alabama|USA
Northwest Medical Center|Winfield|Alabama|USA
North Mississippi Medical Center - Hamilton Campus|Hamilton|Alabama|USA
Parkway Medical Center|Decatur|Alabama|USA
Pickens County Medical Center|Carrollton|Alabama|USA
Prattville Baptist Hospital|Prattville|Alabama|USA
Princeton Baptist Medical Center|Birmingham|Alabama|USA
Providence Hospital|Mobile|Alabama|USA
Randolph Medical Center|Roanoke|Alabama|USA
Red Bay Hospital|Red Bay|Alabama|USA
Regional Rehabilitation Hospital|Phenix City|Alabama|USA
Riverview Regional Medical Center|Gadsden|Alabama|USA
Russell Medical Center|Alexander City|Alabama|USA
Russellville Hospital|Russellville|Alabama|USA
Searcy Hospital|Mount Vernon|Alabama|USA
Select Specialty Hospital - Birmingham|Birmingham|Alabama|USA
Shelby Baptist Medical Center|Alabaster|Alabama|USA
South Baldwin Regional Medical Center|Foley|Alabama|USA
Southeast Alabama Medical Center|Dothan|Alabama|USA
Southwest Alabama Medical Center|Thomasville|Alabama|USA
Springhill Medical Center|Mobile|Alabama|USA
St. Vincent's Blount|Oneonta|Alabama|USA
St. Vincent's East|Birmingham|Alabama|USA
St. Vincent's Hospital|Birmingham|Alabama|USA
St. Vincent's St. Clair|Pell City|Alabama|USA
Stringfellow Memorial Hospital|Anniston|Alabama|USA
Taylor Hardin Secure Medical Facility|Tuscaloosa|Alabama|USA
Thomas Hospital|Fairhope|Alabama|USA
Trinity Medical Center|Birmingham|Alabama|USA
Troy Regional Medical Center|Troy|Alabama|USA
University of Alabama Hospital, Birmingham|Birmingham|Alabama|USA
UAB Callahan Eye Hospital|Birmingham|Alabama|USA
UAB Highlands|Birmingham|Alabama|USA
University of South Alabama Children's and Women's Hospital|Mobile|Alabama|USA
University of South Alabama Medical Center|Mobile|Alabama|USA
Vaughan Regional Medical Center|Selma|Alabama|USA
Veterans Affairs Medical Center-Birmingham|Birmingham|Alabama|USA
Veterans Affairs Medical Center-Tuscaloosa|Tuscaloosa|Alabama|USA
Walker Baptist Medical Center|Jasper|Alabama|USA
Washington County Hospital|Chatom|Alabama|USA
W. D. Partlow Developmental Center|Tuscaloosa|Alabama|USA
Wedowee Hospital|Wedowee|Alabama|USA
Wiregrass Medical Center|Geneva|Alabama|USA
Woodland Medical Center|Cullman|Alabama|USA
Alaska Native Medical Center, Anchorage||Alaska|USA
Alaska Regional Hospital, Anchorage||Alaska|USA
Bartlett Regional Hospital, Juneau||Alaska|USA
Bassett Army Community Hospital, Fort Wainwright||Alaska|USA
Central Peninsula General Hospital, Soldotna||Alaska|USA
Cordova Community Medical Center, Cordova||Alaska|USA
Elmendorf AFB Hospital, Anchorage||Alaska|USA
Fairbanks Memorial Hospital, Fairbanks||Alaska|USA
Kanakanak Hospital, Dillingham||Alaska|USA
PeaceHealth Ketchikan Medical Center, Ketchikan||Alaska|USA
Maniilaq Health Center, Kotzebue||Alaska|USA
Mat-Su Regional Medical Center, Palmer||Alaska|USA
Mt. Edgecumbe Hospital, Sitka||Alaska|USA
Northstar Hospital, Anchorage||Alaska|USA
Norton Sound Regional Hospital, Nome||Alaska|USA
Petersburg Medical Center Petersburg||Alaska|USA
Providence Alaska Medical Center, Anchorage||Alaska|USA
Providence Kodiak Island Medical Center, Kodiak||Alaska|USA
Providence Seward Medical and Care Center, Seward||Alaska|USA
Samuel Simmonds Memorial Hospital, Barrow||Alaska|USA
Sitka Community Hospital, Sitka||Alaska|USA
South Peninsula Hospital, Homer||Alaska|USA
St. Elias Specialty Hospital, Anchorage||Alaska|USA
Wrangell Medical Center, Wrangell||Alaska|USA
Yukon-Kuskokwim Delta Regional Hospital, Bethel||Alaska|USA
Abrazo Arizona Heart Hospital - Phoenix, Arizona||Arizona|USA
Abrazo Central Campus (formerly Phoenix Baptist Hospital) - Phoenix, Arizona||Arizona|USA
Abrazo Maryvale Campus (formerly Maryvale Hospital Medical Center) - Phoenix, Arizona||Arizona|USA
Abrazo West Campus (formerly West Valley Hospital) - Goodyear, Arizona||Arizona|USA
Abrazo Arrowhead Campus||Arizona|USA
Abrazo Scottsdale Campus - Phoenix, Arizona (Formerly Paradise Valley Hospital)||Arizona|USA
Arizona Heart Institute - Phoenix, Arizona||Arizona|USA
Arizona State Hospital - Phoenix, Arizona||Arizona|USA
Arrowhead Hospital - Glendale, Arizona||Arizona|USA
Benson Hospital - Benson, Arizona||Arizona|USA
Bullhead Community Hospital - Bullhead City, Arizona||Arizona|USA
Cobalt Rehabilitation (TBI) Hospital - Surprise, Arizona||Arizona|USA
Carl T. Hayden VA Medical Center - Phoenix, Arizona||Arizona|USA
Banner Baywood Medical Center| Mesa, Arizona|Arizona|USA
Banner Behavioral Health Hospital| Scottsdale, Arizona|Arizona|USA
Banner Boswell Medical Center (former Boswell Memorial Hospital) - Sun City, Arizona||Arizona|USA
Banner Casa Grande Medical Center (formerly Casa Grande Regional Medical Center) - Casa Grande, Arizona||Arizona|USA
Banner Del E Webb Memorial Hospital| Sun City West, Arizona|Arizona|USA
Banner Desert Medical Center (originally Desert Samaritan, aka "Desert Sam")| Mesa, Arizona|Arizona|USA
Banner Estrella Medical Center| Phoenix, Arizona|Arizona|USA
Banner Gateway Medical Center| Gilbert, Arizona|Arizona|USA
Banner Goldfield Medical Center - Apache Junction, Arizona||Arizona|USA
Banner Good Samaritan Medical Center| Phoenix, Arizona|Arizona|USA
Banner Heart Hospital| Mesa, Arizona|Arizona|USA
Banner Ironwood Medical Center - Queen Creek, Arizona||Arizona|USA
Banner MD Anderson Cancer Center - Gilbert, Arizona||Arizona|USA
Banner Payson Medical Center - Payson, Arizona||Arizona|USA
Banner Thunderbird Medical Center (originally Thunderbird Samaritan Medical Center)| Glendale, Arizona|Arizona|USA
Banner University Medical Center Phoenix - Phoenix, Arizona||Arizona|USA
Banner University Medical Center Tucson - Tucson, Arizona||Arizona|USA
Banner University Medical Center South - Tucson, Arizona||Arizona|USA
Barrow Neurological Institute - Phoenix, Arizona||Arizona|USA
Carondelet St. Joseph's Hospital - Tucson, Arizona||Arizona|USA
Cardon Children's Medical Center - Mesa, Arizona||Arizona|USA
Cobre Valley Community Hospital - Globe, Arizona||Arizona|USA
Copper Queen Community Hospital - Bisbee, Arizona||Arizona|USA
Dignity Health Arizona General Hospital - Laveen, Arizona||Arizona|USA
Dignity Health Chandler Regional Medical Center - Chandler, Arizona||Arizona|USA
Dignity Health St. Joseph's Hospital and Medical Center| Phoenix, Arizona|Arizona|USA
Dignity Health St. Joseph's Westgate Medical Center||Arizona|USA
Dignity Health Mercy Gilbert Medical Center - Gilbert, Arizona||Arizona|USA
Flagstaff Regional Medical Center - Flagstaff, Arizona||Arizona|USA
Florence Community Healthcare - Florence, Arizona||Arizona|USA
Fort Defiance Indian Hospital - Fort Defiance, Arizona||Arizona|USA
Ft. Yuma Indian Hospital - Yuma, Arizona||Arizona|USA
Gilbert Hospital - Gilbert, Arizona||Arizona|USA
Havasu Regional Medical Center| Lake Havasu City, Arizona|Arizona|USA
HealthSouth Rehabilitation Hospital of Southern Arizona| Tucson, Arizona|Arizona|USA
Holy Cross Hospital - Nogales, Arizona||Arizona|USA
HonorHealth Deer Valley Medical Center (John C Lincoln Deer Valley Hospital) - Phoenix, Arizona||Arizona|USA
HonorHealth John C. Lincoln Medical Center - Phoenix, Arizona||Arizona|USA
HonorHealth Scottsdale Osborn Medical Center (formerly Scottsdale Healthcare Osborn) - Scottsdale, Arizona||Arizona|USA
HonorHealth Scottsdale Shea Medical Center (formerly Scottsdale Healthcare Shea) - Scottsdale, Arizona||Arizona|USA
HonorHealth Scottsdale Thompson Peak Medical Center (formerly Scottsdale Healthcare Thompson Peak) - Scottsdale, Arizona||Arizona|USA
HonorHealth Sonoran Health and Emergency Center (formerly John C. Lincoln Sonoran Health) - Phoenix, Arizona||Arizona|USA
Hopi Health Care Center - Polacca, Arizona||Arizona|USA
HuHuKam Memorial Hospital - Sacaton, Arizona||Arizona|USA
Kingman Regional Medical Center| Kingman, Arizona|Arizona|USA
La Paz Regional Hospital - Parker, Arizona||Arizona|USA
Luke AFB USAF Hospital - Luke AFB, Arizona||Arizona|USA
Maricopa Medical Center| Phoenix, Arizona|Arizona|USA
Mayo Clinic - Phoenix, Arizona||Arizona|USA
Mercy Gilbert Medical Center - Gilbert, Arizona||Arizona|USA
Mount Graham Regional Medical Center (MGRMC) - Safford, Arizona||Arizona|USA
Mountain Vista Medical Center - Mesa, Arizona||Arizona|USA
Northern Cochise Community Hospital - Willcox, Arizona||Arizona|USA
Northwest Medical Center| Tucson, Arizona|Arizona|USA
Oasis Behavioral Health Hospital - Chandler, Arizona||Arizona|USA
Oro Valley Hospital| Tucson, Arizona|Arizona|USA
Page Hospital| Page, Arizona|Arizona|USA
Paradise Valley Hospital| Phoenix, Arizona|Arizona|USA
Phoenix Children's Hospital| Phoenix, Arizona|Arizona|USA
Phoenix Indian Medical Center - Phoenix, Arizona||Arizona|USA
Phoenix Memorial Hospital| Phoenix, Arizona|Arizona|USA
Prescott VA Medical Center - Prescott, Arizona||Arizona|USA
Sage Memorial Hospital - Ganado, Arizona||Arizona|USA
Sierra Tucson| Tucson, Arizona|Arizona|USA
Sierra Vista Regional Health Center - Sierra Vista, Arizona||Arizona|USA
Southeast Arizona Medical Center - Douglas, Arizona||Arizona|USA
Southeastern Arizona Behavioral Health Services| Nogales, Arizona|Arizona|USA
St. Luke's Medical Center| Phoenix, Arizona|Arizona|USA
St. Mary's Hospital (Tucson)| Tucson, Arizona|Arizona|USA
Summit Healthcare Regional Medical Center - Show Low, Arizona||Arizona|USA
Tempe St. Luke's Hospital| Tempe, Arizona|Arizona|USA
Tuba City Indian Medical Center - Tuba City, Arizona||Arizona|USA
Tucson Heart Hospital - Tucson, Arizona||Arizona|USA
Tucson Medical Center| Tucson, Arizona|Arizona|USA
Tucson VA Medical Center - Tucson, Arizona||Arizona|USA
Valley Hospital - Phoenix, Arizona||Arizona|USA
Verde Valley Medical Center - Cottonwood, Arizona||Arizona|USA
Western Arizona Regional Medical Center - Bullhead City, Arizona||Arizona|USA
White Mountain Regional Medical Center - Springerville, Arizona||Arizona|USA
Wickenburg Regional Hospital - Wickenburg, Arizona||Arizona|USA
Winslow Memorial Hospital - Winslow, Arizona||Arizona|USA
Yavapai Regional Medical Center| Prescott, Arizona|Arizona|USA
Yuma Regional Medical Center| Yuma, Arizona|Arizona|USA
Arkansas Children's Hospital - Little Rock, Arkansas||Arkansas|USA
Arkansas Heart Hospital - Little Rock, Arkansas||Arkansas|USA
Arkansas Methodist Hospital - Paragould, Arkansas||Arkansas|USA
Arkansas State Hospital - Psychiatric Division - Little Rock, Arkansas||Arkansas|USA
Arkansas Surgical Hospital - North Little Rock, Arkansas||Arkansas|USA
Ashley County Medical Center - Crossett, AR||Arkansas|USA
Baptist Health Medical Center - Arkadelphia - Arkadelphia, Arkansas||Arkansas|USA
Baptist Health Medical Center - Heber Springs - Heber Springs, Arkansas||Arkansas|USA
Baptist Health Medical Center - Little Rock - Little Rock, Arkansas||Arkansas|USA
Baptist Health Medical Center - Conway - Conway, Arkansas||Arkansas|USA
Baptist Health Medical Center - Malvern - Malvern, Arkansas||Arkansas|USA
Baptist Health Medical Center - North Little Rock - North Little Rock, Arkansas||Arkansas|USA
Baptist Health Medical Center - Stuttgart - Stuttgart, Arkansas||Arkansas|USA
Baxter Regional Medical Center - Mountain Home, Arkansas||Arkansas|USA
Carroll Regional Medical Center - Berryville, Arkansas||Arkansas|USA
Chicot Memorial Hospital- Lake Village, Arkansas||Arkansas|USA
Conway Regional Health System - Conway, Arkansas||Arkansas|USA
Crittenden Regional Hospital - West Memphis, Arkansas (Hospital is closing 7 September 2014- ER is already closed and no new hospital admissions).[1]||Arkansas|USA
De Queen Medical Center - De Queen, Arkansas||Arkansas|USA
Drew Memorial Hospital - Monticello, Arkansas||Arkansas|USA
Five Rivers Medical Center - Pocahontas, Arkansas||Arkansas|USA
Harris Hospital- Newport, Arkansas||Arkansas|USA
Howard Memorial Hospital - Nashville, Arkansas||Arkansas|USA
Jefferson Regional Medical Center - Pine Bluff, Arkansas||Arkansas|USA
John C. McCellan Veterans Administration Complex||Arkansas|USA
Johnson Regional Medical Center - Clarksville, Arkansas||Arkansas|USA
Levi Hospital - Hot Springs, Arkansas||Arkansas|USA
Little River Memorial Hospital - Ashdown, Arkansas||Arkansas|USA
Magnolia Hospital-Magnolia, Arkansas||Arkansas|USA
McGehee Hospital - McGehee, Arkansas||Arkansas|USA
Medical Center of South Arkansas - El Dorado, Arkansas||Arkansas|USA
Medical Park Hospital - Hope, Arkansas||Arkansas|USA
Mercy Hospital Berryville - Berryville, Arkansas||Arkansas|USA
Mercy Hospital Fort Smith - Fort Smith, Arkansas||Arkansas|USA
Mercy Hospital Hot Springs- Hot Springs, Arkansas||Arkansas|USA
Mercy Hospital Northwest Arkansas - Rogers, Arkansas||Arkansas|USA
Mercy Hospital Ozark - Ozark, Arkansas||Arkansas|USA
Mercy Hospital Paris - Paris, Arkansas||Arkansas|USA
Mercy Hospital Waldron - Waldron, Arkansas||Arkansas|USA
Mena Medical Center - Mena, Arkansas||Arkansas|USA
National Park Medical Center - Hot Springs, Arkansas||Arkansas|USA
North Arkansas Regional Medical Center - Harrison, Arkansas||Arkansas|USA
Northwest Medical Center - London, Arkansas||Arkansas|USA
Ouachita County Medical Center - Camden, Arkansas||Arkansas|USA
Ozark Health Medical Center - Clinton, Arkansas||Arkansas|USA
Pinnacle Pointe Hospital - Little Rock, Arkansas||Arkansas|USA
Pike County Memorial Hospital - Murfreesboro, Arkansas||Arkansas|USA
Rebsamen Regional Medical Center - Jacksonville, Arkansas||Arkansas|USA
River Valley Medical Center - Dardanelle, Arkansas||Arkansas|USA
NEA Medical Center - Jonesboro, Arkansas||Arkansas|USA
St Bernards Behavioral Health - Jonesboro, Arkansas||Arkansas|USA
Saline Memorial Hospital - Benton, Arkansas||Arkansas|USA
St. Anthony's Healthcare Center - Morrilton, Arkansas||Arkansas|USA
St. Bernard's Medical Center - Jonesboro, Arkansas||Arkansas|USA
Saint Mary's Regional Medical Center - Russellville, Arkansas||Arkansas|USA
St. Vincent Doctors Hospital - Little Rock, Arkansas||Arkansas|USA
St. Vincent Infirmary Medical Center - Little Rock, Arkansas||Arkansas|USA
St. Vincent Medical Center North - Sherwood, Arkansas||Arkansas|USA
Southwest Regional Medical Center - Little Rock, Arkansas||Arkansas|USA
Sparks Regional Medical Center - Fort Smith, Arkansas||Arkansas|USA
Summit Medical Center - Van Buren, Arkansas||Arkansas|USA
Surgical Hospital of Jonesboro - Jonesboro, Arkansas||Arkansas|USA
UAMS Medical Center/University of Arkansas for Medical Sciences - Little Rock, Arkansas||Arkansas|USA
Washington Regional Medical Center - Fayetteville, Arkansas||Arkansas|USA
White County Medical Center - Searcy, Arkansas||Arkansas|USA
White River Medical Center - Batesville, Arkansas||Arkansas|USA
Stone County Medical Center - Mountain View, Arkansas||Arkansas|USA
Community Medical Center of Izard County - Calico Rock, Arkansas||Arkansas|USA
Alameda Hospital| Alameda|California|USA
Alta Bates Summit Medical Center| Berkeley|California|USA
Alta Bates Summit Medical Center| Oakland|California|USA
Ayesha Hospital||California|USA
Children's Hospital Oakland| Oakland|California|USA
Eden Medical Center| Castro Valley|California|USA
Fairmont Hospital| San Leandro|California|USA
Highland Hospital| Oakland|California|USA
John George Psychiatric Pavilion| San Leandro|California|USA
Kaiser Fremont| Fremont|California|USA
Kaiser Livermore| Livermore|California|USA
Kaiser Oakland| Oakland|California|USA
Kaiser Permanente Medical Center| Hayward|California|USA
Kaiser Permanente Medical Center| San Leandro|California|USA
Kaiser Pleasanton| Pleasanton|California|USA
Kindred Hospital - San Francisco Bay Area| San Leandro[1]|California|USA
Livermore VA Hospital| Livermore|California|USA
St. Rose Hospital| Hayward|California|USA
San Leandro Hospital| San Leandro|California|USA
Valley Care Medical Center| Pleasanton|California|USA
Washington Hospital| Fremont|California|USA
Sutter Amador Hospital| Jackson|California|USA
County Hospital||California|USA
Biggs-Gridley Memorial Hospital||California|USA
California Park Rehabilitation Hospital||California|USA
Enloe Medical Center||California|USA
Feather River Hospital||California|USA
Oroville Hospital||California|USA
Mark Twain St. Joseph Hospital||California|USA
Colusa Regional Medical Center||California|USA
Contra Costa Regional Medical Center| Martinez|California|USA
Delta Memorial Hospital (now Sutter Delta Medical Center)||California|USA
Doctors Medical Center Pinole Campus| Pinole|California|USA
Guardian Rehabilitation Hospital||California|USA
John Muir Medical Center| Concord (formerly Mt. Diablo Medical Center)|California|USA
John Muir Medical Center| Walnut Creek|California|USA
Kaiser Foundation Hospital| Martinez|California|USA
Kaiser Foundation Hospital| Richmond|California|USA
Kaiser Foundation Hospital| Walnut Creek|California|USA
Kaiser Medical Center| Pinole|California|USA
Los Medanos Community Hospital||California|USA
San Ramon Regional Medical Center| San Ramon|California|USA
Sutter Delta Medical Center| Antioch|California|USA
Sutter Coast Hospital||California|USA
Barton Memorial Hospital||California|USA
Marshall Hospital||California|USA
Coalinga Regional Medical Center| Coalinga|California|USA
Coalinga State Hospital| Coalinga (state run psychiatric hospital)|California|USA
Community Medical Center-Clovis| Clovis|California|USA
Community Regional Medical Center| Fresno|California|USA
Fresno Heart & Surgical Hospital| Fresno (part of Community Medical Centers)|California|USA
Fresno Surgical Hospital| Fresno|California|USA
Kaiser Foundation Hospital| Fresno|California|USA
Kingsburg Medical Center| Kingsburg (closed)|California|USA
Saint Agnes Medical Center| Fresno|California|USA
San Joaquin Valley Rehabilitation Hospital||California|USA
Sanger General Hospital| Sanger (closed)|California|USA
Selma Community Hospital| Selma|California|USA
Sierra Kings Hospital| Reedley (acquired by Adventist Health and renamed Adventist Medical Center – Reedley)|California|USA
Glenn Medical Center||California|USA
Jerold Phelps Community Hospital| Garberville|California|USA
Mad River Community Hospital| Arcata|California|USA
Redwood Memorial Hospital| Fortuna (owned by St. Joseph Health System)|California|USA
St. Joseph Hospital| Eureka (includes the General Hospital Campus and Rehabilitation Hospital)|California|USA
Calexico Health Center - Urgent Care||California|USA
El Centro Regional Medical Center||California|USA
Pioneers Memorial Hospital||California|USA
Northern Inyo Hospital||California|USA
Southern Inyo Hospital||California|USA
Bakersfield Heart Hospital| Bakersfield|California|USA
Bakersfield Memorial Hospital| Bakersfield|California|USA
Delano Regional Medical Center| Delano|California|USA
Kern Medical Center| Bakersfield|California|USA
Kern Valley| Lake Isabella|California|USA
Mercy Hospital Bakersfield (formerly named Mercy Truxton)||California|USA
Mercy Southwest| Bakersfield|California|USA
Ridgecrest Regional Hospital| Ridgecrest|California|USA
San Joaquin Medical Center| Bakersfield|California|USA
Adventist Medical Center| Hanford|California|USA
Central Valley General Hospital||California|USA
Corcoran District Hospital||California|USA
Naval Hospital Lemoore||California|USA
St. Helena Hospital Clearlake||California|USA
Sutter Lakeside Hospital||California|USA
Banner Lassen Medical Center| Susanville|California|USA
Alhambra Hospital Medical Center| Alhambra|California|USA
Antelope Valley Hospital Medical Center| Lancaster|California|USA
Barlow Respiratory Hospital| Los Angeles|California|USA
Burbank Community Hospital| Burbank (closed 1997) (renamed Thompson Memorial Medical Center Hospital)|California|USA
California Hospital Medical Center| Los Angeles|California|USA
Cedars-Sinai Medical Center| Los Angeles and Beverly Hills|California|USA
Century City Hospital| Los Angeles (closed)|California|USA
Children's Hospital Los Angeles| Los Angeles|California|USA
City of Hope National Medical Center| Duarte|California|USA
Encino Hospital Medical Center| Encino|California|USA
Estelle Doheney Eye Hospital| Los Angeles|California|USA
Foothill Presbyterian Hospital| Glendora|California|USA
Garfield Medical Center| Monterey Park|California|USA
Glendale Adventist Medical Center| Glendale|California|USA
Glendale Memorial Hospital and Health Center| Glendale|California|USA
Glendora Community Hospital| Glendora (formerly East Valley Hospital)|California|USA
Good Samaritan Hospital| Los Angeles|California|USA
Granada Hills Community Hospital| Granada Hills (closed August 2003)|California|USA
Henry Mayo Newhall Memorial Hospital| Valencia|California|USA
Hollywood Community Hospital of Hollywood| Hollywood|California|USA
Hollywood Community Hospital of Van Nuys| Van Nuys|California|USA
Hollywood Presbyterian Medical Center| Los Angeles|California|USA
Huntington Memorial Hospital| Pasadena|California|USA
Kaiser Foundation Hospital| Chatsworth|California|USA
Kaiser Foundation Hospital| Panorama City|California|USA
Kaiser Foundation Hospital| West Los Angeles|California|USA
Kaiser Foundation Hospital| Woodland Hills|California|USA
Kaiser Foundation Hospital Sunset| Los Angeles|California|USA
Lakewood Regional Medical Center| Lakewood|California|USA
Lancaster Community Hospital| Lancaster (closed)|California|USA
Las Encinas Hospital| Pasadena|California|USA
Los Angeles Community Hospital| Los Angeles|California|USA
Los Angeles County High Desert Hospital| Lancaster (closed June 2003)|California|USA
Los Angeles County Los Amigos Medical Center||California|USA
Los Angeles County-USC Medical Center| Los Angeles|California|USA
Los Angeles Metropolitan Medical Center| Los Angeles (closed 2013)|California|USA
Mattel Children's Hospital UCLA| Los Angeles|California|USA
Methodist Hospital of Southern California| Arcadia|California|USA
Mission Community Hospital| Panorama Campus|California|USA
Monrovia Community Hospital| (closed May 2004)|California|USA
Monterey Park Hospital| Monterey Park|California|USA
Motion Picture & Television Hospital| Woodland Hills|California|USA
Northridge Hospital Medical Center| Northridge|California|USA
Northridge Hospital Medical Center, Sherman Way Campus (closed December 2004)||California|USA
Olive View-UCLA Medical Center| Sylmar|California|USA
Olympia Medical Center| Los Angeles|California|USA
Orthopaedic Hospital| Los Angeles (outpatient service only as of June 2005)|California|USA
Pacific Alliance Medical Center| Los Angeles|California|USA
Pacifica Hospital Of The Valley| Sun Valley|California|USA
Palmdale Regional Medical Center| Palmdale|California|USA
Pico Rivera Medical Center| Pico Rivera|California|USA
Promise Hospital of East Los Angeles| Los Angeles|California|USA
Providence Holy Cross Medical Center| Mission Hills|California|USA
Providence St. Joseph Medical Center| Burbank|California|USA
Providence Tarzana Medical Center| Tarzana|California|USA
Queen of the Valley| West Covina|California|USA
Resnick Neuropsychiatric Hospital at UCLA| Los Angeles|California|USA
Ronald Reagan UCLA Medical Center| Los Angeles|California|USA
St. John's Health Center| Santa Monica|California|USA
St. Luke Medical Center| Sierra Madre (closed February 2002)|California|USA
St. Vincent Medical Center| Los Angeles|California|USA
San Gabriel Valley Medical Center| San Gabriel|California|USA
San Vicente Hospital||California|USA
Santa Marta Hospital (see Elastar Community Hospital (closed 2004)||California|USA
Santa Teresita Hospital| Duarte (acute care closed January 2004)|California|USA
Sherman Oaks Hospital and the Grossman Burn Center| Sherman Oaks|California|USA
Shriners Hospital| Los Angeles|California|USA
Silver Lake Medical Center| Los Angeles (formerly City of Angels Medical Center)|California|USA
Silver Lake Medical Center, Ingleside Campus| Rosemead|California|USA
